id,timestamp,prob,type,amp
CI.IMP.,2020-10-01 00:02:25.200,0.96429884,P,1.4149110084751295e-07
CI.IMP.,2020-10-01 00:02:38.240,0.85255414,P,2.5855943195422176e-08
CI.RXH.,2020-10-01 00:00:33.360,0.6023203,P,3.6655174034923193e-09
CI.RXH.,2020-10-01 00:00:42.440,0.13332325,P,2.0068507395921233e-08
CI.RXH.,2020-10-01 00:00:58.730,0.6464239,P,9.033976393682404e-09
CI.RXH.,2020-10-01 00:01:10.060,0.11379355,P,2.2184947896449626e-08
CI.RXH.,2020-10-01 00:01:26.150,0.5468978,P,7.05469475255457e-09
CI.RXH.,2020-10-01 00:01:35.840,0.49651816,P,2.3801304357366228e-08
CI.RXH.,2020-10-01 00:01:55.170,0.5647266,P,4.491490070371194e-09
CI.RXH.,2020-10-01 00:02:23.180,0.9771893,P,5.2570489588737166e-08
CI.SAL.,2020-10-01 00:00:04.280,0.27841288,P,1.126117688367381e-08
CI.SAL.,2020-10-01 00:00:38.080,0.11744124,P,3.8229724714788506e-09
CI.SAL.,2020-10-01 00:01:42.550,0.12267093,P,1.7393340391643344e-09
CI.SAL.,2020-10-01 00:02:29.160,0.9390912,P,6.02591326125408e-09
CI.SGL.,2020-10-01 00:00:37.870,0.68603957,P,1.5745539475189428e-09
CI.SGL.,2020-10-01 00:01:14.590,0.7762513,P,5.095746361917748e-09
CI.SGL.,2020-10-01 00:01:30.380,0.24360676,P,1.7668515228279129e-09
CI.SGL.,2020-10-01 00:01:31.140,0.46108815,P,3.2027803789819665e-09
CI.SGL.,2020-10-01 00:01:39.830,0.6091101,P,1.504673589291153e-09
CI.SGL.,2020-10-01 00:01:59.790,0.7514171,P,1.3676793092753228e-09
CI.SGL.,2020-10-01 00:02:29.500,0.82637393,P,9.818937364351351e-09
CI.SLV.,2020-10-01 00:00:04.150,0.66213495,P,7.630509102047408e-10
CI.SLV.,2020-10-01 00:00:35.730,0.23423557,P,1.176719939618189e-09
CI.SLV.,2020-10-01 00:00:38.170,0.6186651,P,2.2353614269062738e-10
CI.SLV.,2020-10-01 00:01:03.550,0.43005437,P,9.680822738248453e-10
CI.SLV.,2020-10-01 00:01:12.530,0.12559026,P,4.2951133757958073e-10
CI.SLV.,2020-10-01 00:01:12.620,0.10242533,P,3.6610247115680107e-10
CI.SLV.,2020-10-01 00:01:14.940,0.9528399,P,1.5057023224668965e-09
