time,magnitude,longitude,latitude,depth_km,utmx,utmy
7/2/2020 15:31,,101.145241,-1.644046,0.701,738670.0599,9818154.784
7/2/2020 20:26,,101.147036,-1.637448,0.722,738870.641,9818884.367
8/2/2020 16:53,,101.146654,-1.648735,0.48,738826.7794,9817635.969
12/2/2020 13:06,,101.15092,-1.641224,1.181,739302.5145,9818466.243
12/2/2020 13:16,,101.147623,-1.640151,0.605,738935.6584,9818585.321
12/2/2020 13:26,,101.145988,-1.64468,0.897,738753.1315,9818084.568
12/2/2020 13:26,,101.148336,-1.630181,1.083,739016.2017,9819688.008
12/2/2020 13:26,,101.149302,-1.645026,0.729,739121.965,9818045.901
12/2/2020 13:31,,101.145373,-1.642397,1.084,738684.9485,9818337.162
12/2/2020 13:31,,101.14972,-1.646464,-0.37,739168.3203,9817886.794
13/2/2020 20:51,,101.15076,-1.53795,2.13749,739296.6057,9829889.319
13/2/2020 23:23,,101.14738,-1.644838,-0.539,738908.0533,9818066.925
13/2/2020 23:24,,101.145185,-1.644606,0.026,738663.7601,9818092.849
13/2/2020 23:25,,101.146506,-1.64411,-0.512,738810.8568,9818147.553
13/2/2020 23:32,,101.147868,-1.641355,0.232,738962.7859,9818452.118
13/2/2020 23:49,,101.147786,-1.644766,0.229,738953.2529,9818074.841
14/2/2020 16:27,,101.135537,-1.630734,0.152,737591.5006,9819628.358
14/2/2020 21:44,,101.144373,-1.64844,-0.524,738572.9219,9817668.872
15/2/2020 0:50,,101.15755,-1.63266,-0.17464,740041.5106,9819412.71
15/2/2020 0:52,,101.153702,-1.641532,-0.309,739612.1382,9818431.842
15/2/2020 0:57,,101.147104,-1.644882,1.323,738877.3271,9818062.092
15/2/2020 1:15,,101.153726,-1.628377,0.482,739616.3709,9819886.907
15/2/2020 1:20,,101.140881,-1.647353,0.378,738184.3655,9817789.522
15/2/2020 15:43,,101.12987,-1.6212,1.61934,736961.8328,9820683.561
15/2/2020 15:45,,101.144645,-1.64608,0.184,738603.4785,9817929.877
15/2/2020 15:56,,101.13866,-1.64429,-0.45924,737937.5154,9818128.581
15/2/2020 15:57,,101.145526,-1.645661,0.066,738701.5905,9817976.116
