,id,timestamp,prob,type,filename
8030,ML09,2020-04-29 10:20:30.160,0.11664052,s,ML09_20200429_120_10.mseed
8031,ML09,2020-04-29 10:20:43.620,0.18587567,s,ML09_20200429_120_10.mseed
8032,ML09,2020-04-29 10:22:20.490,0.20349771,p,ML09_20200429_120_10.mseed
8033,ML09,2020-04-29 10:22:21.530,0.1328111,p,ML09_20200429_120_10.mseed
8034,ML09,2020-04-29 10:24:07.010,0.8239243,p,ML09_20200429_120_10.mseed
8035,ML09,2020-04-29 10:24:18.510,0.11229394,p,ML09_20200429_120_10.mseed
8036,ML09,2020-04-29 10:24:34.750,0.39936638,s,ML09_20200429_120_10.mseed
8037,ML09,2020-04-29 10:25:08.170,0.27965587,p,ML09_20200429_120_10.mseed
8038,ML09,2020-04-29 10:25:15.020,0.4502644,p,ML09_20200429_120_10.mseed
8039,ML09,2020-04-29 10:25:15.390,0.42172658,s,ML09_20200429_120_10.mseed
8040,ML09,2020-04-29 10:26:01.530,0.42645893,p,ML09_20200429_120_10.mseed
8041,ML09,2020-04-29 10:26:05.150,0.13516864,p,ML09_20200429_120_10.mseed
8042,ML09,2020-04-29 10:26:05.480,0.18695688,s,ML09_20200429_120_10.mseed
8043,ML09,2020-04-29 10:26:07.120,0.36647832,p,ML09_20200429_120_10.mseed
8044,ML09,2020-04-29 10:26:07.120,0.27137887,s,ML09_20200429_120_10.mseed
8045,ML09,2020-04-29 10:26:41.590,0.3765781,p,ML09_20200429_120_10.mseed
8046,ML09,2020-04-29 10:26:42.220,0.13379003,s,ML09_20200429_120_10.mseed
8047,ML09,2020-04-29 10:27:22.820,0.20265554,p,ML09_20200429_120_10.mseed
8048,ML09,2020-04-29 10:27:26.210,0.17755972,p,ML09_20200429_120_10.mseed
8049,ML09,2020-04-29 10:27:31.080,0.115395315,s,ML09_20200429_120_10.mseed
8050,ML09,2020-04-29 10:27:42.530,0.16070554,p,ML09_20200429_120_10.mseed
8051,ML09,2020-04-29 10:27:45.100,0.4908482,p,ML09_20200429_120_10.mseed
8052,ML09,2020-04-29 10:27:45.340,0.31232738,s,ML09_20200429_120_10.mseed
8053,ML09,2020-04-29 10:27:46.260,0.12798326,p,ML09_20200429_120_10.mseed
8054,ML09,2020-04-29 10:28:41.580,0.34369883,p,ML09_20200429_120_10.mseed
8055,ML09,2020-04-29 10:30:20.910,0.46146068,p,ML09_20200429_120_10.mseed
8056,ML09,2020-04-29 10:30:21.600,0.18771476,s,ML09_20200429_120_10.mseed
8057,ML09,2020-04-29 10:30:32.610,0.6737131,p,ML09_20200429_120_10.mseed
8058,ML09,2020-04-29 10:30:34.820,0.4148487,p,ML09_20200429_120_10.mseed
8059,ML09,2020-04-29 10:30:35.060,0.45163906,s,ML09_20200429_120_10.mseed
8060,ML09,2020-04-29 10:32:57.380,0.16909571,p,ML09_20200429_120_10.mseed
8061,ML09,2020-04-29 10:32:57.860,0.10018446,s,ML09_20200429_120_10.mseed
8062,ML09,2020-04-29 10:33:04.640,0.23401733,p,ML09_20200429_120_10.mseed
8063,ML09,2020-04-29 10:33:04.870,0.33172116,s,ML09_20200429_120_10.mseed
8064,ML09,2020-04-29 10:34:44.260,0.44559133,p,ML09_20200429_120_10.mseed
8065,ML09,2020-04-29 10:34:47.470,0.11938597,s,ML09_20200429_120_10.mseed
8066,ML09,2020-04-29 10:34:47.460,0.11681577,p,ML09_20200429_120_10.mseed
8067,ML09,2020-04-29 10:34:51.940,0.18698022,p,ML09_20200429_120_10.mseed
8068,ML09,2020-04-29 10:34:52.400,0.13860798,s,ML09_20200429_120_10.mseed
8069,ML09,2020-04-29 10:36:47.550,0.20325561,p,ML09_20200429_120_10.mseed
8070,ML09,2020-04-29 10:36:59.560,0.52582145,p,ML09_20200429_120_10.mseed
8071,ML09,2020-04-29 10:36:59.980,0.24569553,s,ML09_20200429_120_10.mseed
8072,ML09,2020-04-29 10:37:10.740,0.7144813,p,ML09_20200429_120_10.mseed
8073,ML09,2020-04-29 10:37:11.070,0.37612247,s,ML09_20200429_120_10.mseed
8074,ML09,2020-04-29 10:37:44.360,0.8040321,p,ML09_20200429_120_10.mseed
8075,ML09,2020-04-29 10:38:04.940,0.5960775,p,ML09_20200429_120_10.mseed
