event_id,station_id,timestamp,prob,type
2431,ML03,20:26.6,0.79595196,P
2431,ML03,20:27.5,0.5240945,S
2435,ML03,46:30.4,0.72843605,P
2435,ML03,46:30.6,0.35497206,S
2440,ML03,39:54.1,0.19483922,S
2445,ML03,21:41.2,0.17521529,P
2445,ML03,21:41.9,0.4684881,P
2445,ML03,21:42.0,0.37086302,S
2449,ML03,05:57.1,0.12087435,S
2449,ML03,05:59.5,0.49374834,P
2449,ML03,05:59.8,0.10961508,S
2456,ML03,28:12.1,0.22669607,P
2456,ML03,28:13.1,0.6485616,P
2456,ML03,28:14.0,0.6332869,S
2457,ML03,28:12.0,0.31272638,P
2457,ML03,28:13.1,0.7642764,P
2457,ML03,28:14.0,0.6907787,S
2489,ML03,57:51.8,0.7558298,P
2495,ML03,15:05.0,0.3587618,S
2495,ML03,15:07.5,0.2083086,P
2500,ML03,17:15.3,0.35218203,P
2500,ML03,17:17.0,0.7254839,S
2501,ML03,21:35.8,0.25337946,P
2502,ML03,24:50.3,0.9427362,P
2502,ML03,24:50.6,0.31234097,S
2506,ML03,31:58.2,0.8079275,P
2506,ML03,31:59.2,0.12924841,S
2508,ML03,17:34.8,0.96263283,P
2508,ML03,17:35.3,0.8919903,S
2509,ML03,17:34.8,0.96841174,P
2509,ML03,17:35.3,0.85713345,S
2510,ML03,54:17.4,0.307404,S
2510,ML03,54:17.3,0.77713954,P
2510,ML03,54:17.9,0.3684121,S
2511,ML03,11:58.6,0.42527476,S
2511,ML03,12:01.8,0.6253595,P
2511,ML03,12:02.6,0.5427012,S
2512,ML03,57:42.5,0.89029986,P
2512,ML03,57:42.9,0.72507226,S
2513,ML03,06:05.4,0.8239425,P
2513,ML03,06:06.5,0.5347399,S
2514,ML03,36:29.5,0.52720577,P
2514,ML03,36:30.2,0.90259665,S
458,ML04,24:52.7,0.5270473,P
458,ML04,24:53.9,0.8773796,S
459,ML04,06:57.8,0.9782804,P
459,ML04,06:58.3,0.9470316,S
460,ML04,16:19.7,0.9868008,P
460,ML04,16:20.2,0.95554453,S
461,ML04,59:08.6,0.9747185,P
461,ML04,59:09.2,0.9607006,S
462,ML04,45:42.8,0.9883284,P
462,ML04,45:43.3,0.96137345,S
463,ML04,03:10.6,0.9503209,P
463,ML04,03:11.0,0.96039426,S
464,ML04,07:48.5,0.95451486,P
464,ML04,07:49.0,0.9369767,S
465,ML04,38:21.0,0.9692899,P
465,ML04,38:21.5,0.9583003,S
466,ML04,49:41.9,0.9614532,P
466,ML04,49:42.4,0.9275824,S
467,ML04,53:43.3,0.28759778,P
467,ML04,53:44.2,0.24663799,P
467,ML04,53:44.6,0.8868864,S
468,ML04,35:09.7,0.95247996,P
468,ML04,35:10.2,0.90384644,S
469,ML04,41:30.3,0.9649466,P
469,ML04,41:30.8,0.9462536,S
473,ML04,09:07.2,0.93057656,P
473,ML04,09:07.7,0.9364907,S
475,ML04,45:31.2,0.7073166,P
475,ML04,45:32.9,0.44701016,S
476,ML04,51:07.3,0.5249239,P
476,ML04,51:08.1,0.19779044,P
476,ML04,51:08.7,0.94802195,S
477,ML04,46:47.8,0.93592167,P
477,ML04,46:48.4,0.7475789,S
478,ML04,46:54.2,0.82482725,P
478,ML04,46:55.9,0.9188643,S
481,ML04,10:57.4,0.58271855,P
481,ML04,10:58.8,0.8737772,S
485,ML04,22:01.3,0.6305897,P
485,ML04,22:02.3,0.7877641,S
488,ML04,43:49.7,0.7108086,P
488,ML04,43:51.3,0.8649311,S
489,ML04,55:56.8,0.6846868,P
489,ML04,55:57.2,0.38811648,S
490,ML04,38:53.1,0.468429,P
490,ML04,38:54.3,0.8029055,S
495,ML04,40:38.6,0.30200985,P
495,ML04,40:39.6,0.16856976,P
495,ML04,40:39.8,0.4729695,S
496,ML04,40:13.0,0.95957196,P
496,ML04,40:13.5,0.7612926,S
500,ML04,45:42.6,0.6284343,P
500,ML04,45:44.8,0.6796473,S
501,ML04,02:00.7,0.707335,P
501,ML04,02:02.7,0.48126128,S
501,ML04,02:03.5,0.2150681,S
503,ML04,12:50.3,0.969204,P
503,ML04,12:51.5,0.8740829,S
2035,ML04,33:18.7,0.34909075,P
2035,ML04,33:20.3,0.6429774,S
2036,ML04,33:29.2,0.9267743,P
2036,ML04,33:30.7,0.8694332,S
2037,ML04,17:11.5,0.4292271,P
2037,ML04,17:12.7,0.6952184,S
2038,ML04,28:41.7,0.22280228,P
2038,ML04,28:42.7,0.53188485,S
2039,ML04,45:36.8,0.712241,P
2039,ML04,45:38.1,0.93377167,S
2040,ML04,21:09.9,0.77791315,P
2040,ML04,21:10.3,0.9479446,S
2041,ML04,26:20.9,0.19921273,P
2041,ML04,26:21.9,0.41572455,P
2041,ML04,26:23.1,0.931562,S
2042,ML04,19:07.3,0.88029873,P
2042,ML04,19:08.6,0.8952667,S
2047,ML04,55:15.1,0.1990702,P
2047,ML04,55:16.7,0.55222875,S
2049,ML04,18:42.7,0.59734964,P
2049,ML04,18:43.0,0.25596663,S
2051,ML04,12:45.2,0.55034006,P
2051,ML04,12:46.4,0.84140724,S
2052,ML04,13:36.4,0.97824425,P
2052,ML04,13:36.9,0.94623274,S
2053,ML04,14:13.8,0.9699433,P
2053,ML04,14:14.4,0.8665939,S
2054,ML04,16:15.5,0.9529158,P
2054,ML04,16:16.1,0.88720524,S
2055,ML04,17:17.2,0.9817123,P
2055,ML04,17:17.7,0.95766246,S
2056,ML04,21:08.9,0.9866259,P
2056,ML04,21:09.4,0.9348288,S
2058,ML04,30:04.7,0.31473735,P
2058,ML04,30:05.7,0.21274152,P
2058,ML04,30:06.4,0.94065154,S
2059,ML04,46:24.7,0.96931374,P
2059,ML04,46:25.3,0.92682666,S
2060,ML04,51:10.3,0.9633566,P
2060,ML04,51:10.9,0.8897896,S
2061,ML04,59:07.9,0.8067287,P
2061,ML04,59:09.3,0.6496937,S
2062,ML04,59:45.9,0.8382263,P
2062,ML04,59:46.3,0.9442488,S
2070,ML04,13:36.4,0.9833693,P
2070,ML04,13:36.9,0.94845563,S
2063,ML04,02:37.3,0.95568717,P
2063,ML04,02:37.7,0.93081445,S
2064,ML04,05:22.7,0.23384726,P
2064,ML04,05:23.8,0.24966829,P
2064,ML04,05:24.2,0.9215346,S
2067,ML04,06:29.2,0.9489413,P
2067,ML04,06:29.7,0.9501184,S
2075,ML04,39:55.7,0.9583421,P
2075,ML04,39:56.2,0.9369114,S
2078,ML04,01:14.2,0.63308966,P
2078,ML04,01:14.6,0.9503587,S
2079,ML04,37:50.5,0.9828006,P
2079,ML04,37:51.0,0.9528691,S
2080,ML04,37:50.5,0.9818632,P
2080,ML04,37:51.0,0.95944774,S
2082,ML04,39:15.2,0.9830146,P
2082,ML04,39:15.7,0.96475476,S
2083,ML04,39:58.8,0.93431544,P
2083,ML04,39:59.4,0.95112085,S
2085,ML04,40:35.8,0.7729805,P
2085,ML04,40:36.4,0.9566772,S
2086,ML04,41:17.4,0.62895584,P
2086,ML04,41:18.0,0.95676035,S
2087,ML04,43:59.3,0.9791495,P
2087,ML04,43:59.9,0.95473313,S
2089,ML04,40:21.9,0.90306735,P
2089,ML04,40:22.4,0.9621678,S
2090,ML04,25:44.1,0.59472907,P
2090,ML04,25:45.4,0.8426281,S
2091,ML04,26:01.7,0.9029963,P
2091,ML04,26:02.7,0.22160153,P
2091,ML04,26:03.3,0.84197444,S
2092,ML04,58:56.7,0.9689617,P
2092,ML04,58:57.2,0.8064136,S
2097,ML04,43:46.7,0.6092334,P
2097,ML04,43:47.2,0.81551236,S
2098,ML04,46:31.0,0.8107518,P
2098,ML04,46:32.7,0.8621069,S
2099,ML04,55:52.9,0.9725399,P
2099,ML04,55:53.4,0.8858643,S
2101,ML04,57:21.8,0.98032105,P
2101,ML04,57:22.3,0.8539303,S
2102,ML04,57:31.5,0.9808085,P
2102,ML04,57:32.0,0.8116742,S
2103,ML04,57:43.4,0.9743926,P
2103,ML04,57:43.9,0.8997147,S
2142,ML04,15:06.7,0.94744736,P
2142,ML04,15:07.2,0.81581485,S
2143,ML04,04:41.8,0.6323023,P
2143,ML04,04:43.1,0.42520455,S
2159,ML04,04:10.3,0.9440576,P
2159,ML04,04:11.0,0.912944,S
2173,ML04,12:29.4,0.48506346,P
2174,ML04,03:38.4,0.50291795,P
