id,timestamp,prob,type,filename
RD03,2024-11-02 09:58:37.970,0.36011183,P,RD03_(B157)_RD_20241102_090000
RD03,2024-11-02 09:58:48.270,0.10412936,S,RD03_(B157)_RD_20241102_090000
RD12,2024-11-02 09:22:51.910,0.49795502,S,RD12_(B243)_RD_20241102_090000
RD12,2024-11-02 09:53:08.980,0.20343575,P,RD12_(B243)_RD_20241102_090000
RD12,2024-11-02 09:53:43.100,0.14070377,S,RD12_(B243)_RD_20241102_090000
RD01,2024-11-02 10:20:19.230,0.20468758,P,RD01_(B144)_RD_20241102_100000
RD01,2024-11-02 10:20:46.530,0.16460611,S,RD01_(B144)_RD_20241102_100000
RD02,2024-11-02 10:20:19.190,0.13470417,P,RD02_(B268)_RD_20241102_100000
RD02,2024-11-02 10:20:47.430,0.10111337,S,RD02_(B268)_RD_20241102_100000
RD03,2024-11-02 10:20:19.210,0.23683539,P,RD03_(B157)_RD_20241102_100000
RD03,2024-11-02 10:20:46.920,0.20357653,S,RD03_(B157)_RD_20241102_100000
RD03,2024-11-02 10:23:37.930,0.17107885,P,RD03_(B157)_RD_20241102_100000
RD03,2024-11-02 10:23:50.430,0.18221752,S,RD03_(B157)_RD_20241102_100000
RD04,2024-11-02 10:20:18.920,0.24533166,P,RD04_(B4BD)_RD_20241102_100000
RD04,2024-11-02 10:20:45.510,0.19985798,S,RD04_(B4BD)_RD_20241102_100000
RD05,2024-11-02 10:20:19.130,0.25270456,P,RD05_(B13C)_RD_20241102_100000
RD05,2024-11-02 10:20:47.610,0.3022995,S,RD05_(B13C)_RD_20241102_100000
RD06,2024-11-02 10:20:18.920,0.19000444,P,RD06_(B269)_RD_20241102_100000
RD06,2024-11-02 10:20:44.850,0.20210116,S,RD06_(B269)_RD_20241102_100000
RD07,2024-11-02 10:20:18.810,0.13992514,P,RD07_(B14E)_RD_20241102_100000
RD07,2024-11-02 10:20:44.570,0.24934499,S,RD07_(B14E)_RD_20241102_100000
RD08,2024-11-02 10:20:19.120,0.22640173,P,RD08_(B264)_RD_20241102_100000
RD08,2024-11-02 10:20:45.970,0.21467824,S,RD08_(B264)_RD_20241102_100000
RD09,2024-11-02 10:20:18.850,0.17760676,P,RD09_(B4AE)_RD_20241102_100000
RD09,2024-11-02 10:20:44.730,0.24187514,S,RD09_(B4AE)_RD_20241102_100000
RD10,2024-11-02 10:20:18.680,0.21111937,P,RD10_(B240)_RD_20241102_100000
RD10,2024-11-02 10:20:44.270,0.30881506,S,RD10_(B240)_RD_20241102_100000
