id,origin_time,lon,lat,utm_x,utm_y,depth_km,depth_m,elevation_m,elevation_km,magnitude,CID,RCC,RCT,remarks
46,2024-11-20 10:16:50.690,103.352596,-4.242733,317159.105135562,9530847.419917714,-0.42599999999999993,-425.99999999999994,425.99999999999994,0.42599999999999993,0.0,1,0.018,0.026,WCC
47,2024-11-20 10:19:29.840,103.353377,-4.241646,317245.55436893814,9530967.8065479,-0.20799999999999996,-207.99999999999997,207.99999999999997,0.20799999999999996,0.0,1,0.009,0.027,WCC
48,2024-11-20 11:27:23.090,103.354614,-4.24032,317382.57192953,9531114.729520345,-0.2490000000000001,-249.0000000000001,249.0000000000001,0.2490000000000001,0.0,1,0.009,0.03,WCC
49,2024-11-20 11:28:20.030,103.353825,-4.239312,317294.74189157493,9531226.00964013,-0.1399999999999999,-139.99999999999991,139.99999999999991,0.1399999999999999,0.0,1,0.013,0.025,WCC
50,2024-11-21 19:10:24.840,103.353133,-4.23909,317217.8651323505,9531250.39550753,-0.504,-504.0,504.0,0.504,0.0,1,0.015,0.027,WCC
54,2024-11-21 20:03:57.880,103.357039,-4.239577,317651.61612937273,9531197.462873043,-0.4610000000000001,-461.00000000000006,461.00000000000006,0.4610000000000001,0.0,1,0.018,0.029,WCC
57,2024-11-21 23:27:02.440,103.353304,-4.243113,317237.79506248835,9530805.566120544,-0.3779999999999999,-377.9999999999999,377.9999999999999,0.3779999999999999,0.0,1,0.015,0.026,WCC
58,2024-11-22 00:15:26.880,103.356348,-4.240617,317575.14670715504,9531082.29549658,-0.46399999999999997,-463.99999999999994,463.99999999999994,0.46399999999999997,0.0,1,0.014,0.027,WCC
59,2024-11-22 00:27:43.230,103.356095,-4.240519,317547.0361938223,9531093.072874403,-0.5920000000000001,-592.0000000000001,592.0000000000001,0.5920000000000001,0.0,1,0.013,0.024,WCC
60,2024-11-22 00:43:31.450,103.355509,-4.242191,317482.37229907664,9530908.042576611,-0.5409999999999999,-540.9999999999999,540.9999999999999,0.5409999999999999,0.0,1,0.016,0.028,WCC
61,2024-11-22 07:17:44.120,103.354932,-4.240102,317417.82445342373,9531138.911263006,-0.7310000000000001,-731.0000000000001,731.0000000000001,0.7310000000000001,0.0,1,0.014,0.027,WCC
62,2024-11-22 08:21:10.600,103.356608,-4.240831,317604.0615499209,9531058.692317989,-0.42999999999999994,-429.99999999999994,429.99999999999994,0.42999999999999994,0.0,1,0.016,0.025,WCC
63,2024-11-22 16:49:54.130,103.356787,-4.238649,317623.42199402465,9531300.02307648,-0.6100000000000001,-610.0000000000001,610.0000000000001,0.6100000000000001,0.0,1,0.014,0.028,WCC
64,2024-11-22 17:20:08.400,103.362614,-4.235325,318269.5472092302,9531668.963740962,-0.038000000000000034,-38.000000000000036,38.000000000000036,0.038000000000000034,0.0,1,-9.0,0.005,WCC
65,2024-11-22 18:51:22.320,103.356616,-4.240295,317604.82394774014,9531117.965835072,-0.4079999999999999,-407.99999999999994,407.99999999999994,0.4079999999999999,0.0,1,0.015,0.027,WCC
66,2024-11-22 18:56:36.720,103.356681,-4.239882,317611.943234953,9531163.651260892,-0.5609999999999999,-561.0,561.0,0.561,0.0,1,0.014,0.024,WCC
67,2024-11-22 22:00:22.760,103.355729,-4.245591,317507.594872987,9530532.117472082,-0.21900000000000008,-219.00000000000009,219.00000000000009,0.21900000000000008,0.0,1,0.015,0.027,WCC
69,2024-11-23 15:56:03.550,103.354989,-4.238851,317423.8587809527,9531277.262145603,-0.4810000000000001,-481.0000000000001,481.0000000000001,0.4810000000000001,0.0,1,0.02,0.025,WCC
82,2024-11-25 16:18:59.160,103.356258,-4.243381,317565.80389094213,9530776.627228333,-0.3560000000000001,-356.0000000000001,356.0000000000001,0.3560000000000001,0.0,1,0.016,0.026,WCC
85,2024-11-26 22:12:25.320,103.368644,-4.241913,318940.51975895814,9530941.868512843,-0.43199999999999994,-431.99999999999994,431.99999999999994,0.43199999999999994,0.0,1,-9.0,0.019,WCC
86,2024-11-27 14:54:41.180,103.353906,-4.243485,317304.71514994046,9530764.571910128,-0.3540000000000001,-354.0000000000001,354.0000000000001,0.3540000000000001,0.0,1,0.017,0.021,WCC
87,2024-11-27 15:12:24.010,103.345256,-4.240968,316343.8163261279,9531040.8594833,-0.43700000000000006,-437.00000000000006,437.00000000000006,0.43700000000000006,0.0,1,0.005,0.021,WCC
90,2024-11-30 01:29:55.990,103.351375,-4.241896,317023.3553596826,9530939.688266704,-0.31400000000000006,-314.00000000000006,314.00000000000006,0.31400000000000006,0.0,1,0.013,0.024,WCC
2,2024-11-02 01:29:04.300,103.403556,-4.218292,322810.9415161654,9533561.928400803,0.6099999999999999,609.9999999999999,-609.9999999999999,-0.6099999999999999,0.0,2,0.011,0.024,WCC
3,2024-11-02 01:34:29.620,103.401685,-4.21678,322602.8828059956,9533728.697607301,0.4830000000000001,483.0000000000001,-483.0000000000001,-0.4830000000000001,0.0,2,0.014,0.036,WCC
5,2024-11-05 16:44:17.190,103.405127,-4.22047,322985.8448093933,9533321.445338093,0.17700000000000005,177.00000000000006,-177.00000000000006,-0.17700000000000005,0.0,2,0.016,0.024,WCC
7,2024-11-06 16:21:15.720,103.407023,-4.222726,323196.84564898367,9533072.411034917,-0.137,-137.0,137.0,0.137,0.0,2,0.012,0.031,WCC
8,2024-11-06 20:40:09.520,103.402018,-4.219562,322640.4833027557,9533421.143014874,0.16599999999999993,165.99999999999991,-165.99999999999991,-0.16599999999999993,0.0,2,0.014,0.027,WCC
9,2024-11-07 01:41:31.530,103.402572,-4.216988,322701.4035929884,9533705.899193281,0.20299999999999985,202.99999999999986,-202.99999999999986,-0.20299999999999985,0.0,2,0.009,0.029,WCC
10,2024-11-07 01:49:32.670,103.405859,-4.215482,323065.9809800178,9533873.178229868,0.7919999999999998,791.9999999999998,-791.9999999999998,-0.7919999999999998,0.0,2,0.018,0.024,WCC
19,2024-11-11 14:26:13.690,103.402743,-4.217321,322720.46329452074,9533669.115369804,0.7229999999999999,722.9999999999999,-722.9999999999999,-0.7229999999999999,0.0,2,0.01,0.015,WCC
21,2024-11-16 09:55:20.530,103.405754,-4.218564,323055.0215106554,9533532.350909226,0.10199999999999987,101.99999999999987,-101.99999999999987,-0.10199999999999987,0.0,2,0.017,0.031,WCC
24,2024-11-18 19:07:19.560,103.405859,-4.220612,323067.1421708171,9533305.909648238,0.5830000000000002,583.0000000000002,-583.0000000000002,-0.5830000000000002,0.0,2,0.018,0.017,WCC
51,2024-11-21 19:36:52.760,103.41119,-4.216084,323657.95676412666,9533807.818772297,0.18199999999999994,181.99999999999994,-181.99999999999994,-0.18199999999999994,0.0,2,0.0,0.023,WCC
52,2024-11-21 19:38:28.560,103.401204,-4.217179,322549.57333092537,9533684.467040138,0.6680000000000001,668.0000000000001,-668.0000000000001,-0.6680000000000001,0.0,2,0.015,0.035,WCC
53,2024-11-21 19:38:33.500,103.403914,-4.217425,322850.4896377572,9533657.881668098,0.6440000000000001,644.0000000000001,-644.0000000000001,-0.6440000000000001,0.0,2,0.016,0.022,WCC
55,2024-11-21 20:11:11.720,103.401945,-4.222294,322632.9993024457,9533119.024856927,0.1589999999999998,158.9999999999998,-158.9999999999998,-0.1589999999999998,0.0,2,0.011,0.029,WCC
